,counterpart_area,economy,time,ExternalDebtStock
455,007,VNM,YR2014,26389172.6
456,007,VNM,YR2015,13609895.8
457,007,VNM,YR2016,1709750.2
458,007,VNM,YR2017,972632.3
459,007,VNM,YR2018,0.0
460,007,VNM,YR2019,
461,007,VNM,YR2020,
462,008,ARG,YR2010,
463,008,ARG,YR2011,
464,008,ARG,YR2012,
465,008,ARG,YR2013,
466,008,ARG,YR2014,
467,008,ARG,YR2015,
468,008,ARG,YR2016,
469,008,ARG,YR2017,
470,008,ARG,YR2018,
471,008,ARG,YR2019,
472,008,ARG,YR2020,
473,008,DZA,YR2010,
474,008,DZA,YR2011,
475,008,DZA,YR2012,
476,008,DZA,YR2013,
477,008,DZA,YR2014,
478,008,DZA,YR2015,
479,008,DZA,YR2016,
480,008,DZA,YR2017,
481,008,DZA,YR2018,
482,008,DZA,YR2019,
483,008,DZA,YR2020,
484,008,ETH,YR2010,
485,008,ETH,YR2011,
486,008,ETH,YR2012,
487,008,ETH,YR2013,
488,008,ETH,YR2014,
489,008,ETH,YR2015,
490,008,ETH,YR2016,
491,008,ETH,YR2017,
492,008,ETH,YR2018,
493,008,ETH,YR2019,
494,008,ETH,YR2020,
495,008,TZA,YR2010,
496,008,TZA,YR2011,
497,008,TZA,YR2012,
498,008,TZA,YR2013,
499,008,TZA,YR2014,
500,008,TZA,YR2015,
501,008,TZA,YR2016,
502,008,TZA,YR2017,
503,008,TZA,YR2018,
504,008,TZA,YR2019,
505,008,TZA,YR2020,
506,008,UZB,YR2010,
507,008,UZB,YR2011,
508,008,UZB,YR2012,
509,008,UZB,YR2013,
510,008,UZB,YR2014,
511,008,UZB,YR2015,
512,008,UZB,YR2016,
513,008,UZB,YR2017,
514,008,UZB,YR2018,
515,008,UZB,YR2019,
516,008,UZB,YR2020,
517,008,VNM,YR2010,
518,008,VNM,YR2011,
519,008,VNM,YR2012,
520,008,VNM,YR2013,
521,008,VNM,YR2014,
522,008,VNM,YR2015,
523,008,VNM,YR2016,
524,008,VNM,YR2017,
525,008,VNM,YR2018,
526,008,VNM,YR2019,
527,008,VNM,YR2020,
528,009,ARG,YR2010,
